prices,product_id,product_description,color,department,sub_department,product_type
169.00,471115889,Mid-waist skort. Featuring a thin belt detail with a metal buckle. Matching inner lining. Side zip fastening hidden in the seam.,White,WOMAN,,
75.00,454913736,REGULAR FIT - ROUND NECK - REGULAR LENGTH - SHORT SLEEVE T-shirt in 100% spun cotton. Featuring a round neck and short sleeves. Contrast slogan detail on the front.,white,WOMAN,,
189.00,457199763,"Long shirt made in flowing denim fabric. Featuring a lapel collar, long sleeves with pleated cuffs and a button-up front.",Light blue,WOMAN,,
299.00,464707399,"Blazer made in a flowy fabric. Featuring a lapel collar, long sleeves with shoulder pads, a thin matching fabric belt with tie and button fastening at the front.",Dark khaki,WOMAN,,
169.00,456212536,Short sleeve top with a polo collar. Front buttons.,Brown / Ecru,WOMAN,,
189.00,452713762,Long sleeve shirt with a Peter Pan collar. Featuring tonal embroidered floral detail and a button-up front.,Oyster-white,WOMAN,,
369.00,452709216,Leather trainers. Topstitch detail on the top. Lace-up fastening. Rounded toe. Sole height: 2 cm,Black,WOMAN,,
149.00,467951276,Sleeveless round neck top with shoulder pads and a peplum hem.,Brown,WOMAN,,
119.00,452717044,Fitted rib top. Featuring a round neckline with bow detail and long sleeves.,Black,WOMAN,,
189.00,452730959,Crossbody bag with two handles. Long handle and shoulder strap. Inside pocket with metal zip closure. Flap detail with magnetic closure. Height x Length x Width: 14 x 27 x 6 cm. / 5.5 x 10.6 x 2.3″,Dark tan,WOMAN,,
269.00,463985100,Midi dress with a straight neckline and thin adjustable straps. Featuring pleated detail on the back.,Black,WOMAN,,
119.00,467613827,"T-shirt made from 100% cotton. Straight-cut, off-the-shoulder neckline with long sleeves. Gathered detail.",Oyster-white,WOMAN,,
