prices,product id,product description,color,pdp_url,department,sub department,product type
189.00,470763264,"Mid-rise trousers with belt loops. Side pockets. Front darts. Straight, wide-leg design. Crossover front fastening with zip and inside button.","Brown,Navy blue,Black",https://www.stradivarius.com/ae/casual-striped-smart-trousers-with-crossover-waist-l04541583,,,
59.00,470763256,B-BASIC - VEST TOP - FITTED - SCOOP NECK - SLEEVELESS - STRAPS - MEDIUM WEIGHT Fitted vest top with a round neckline. Available in assorted colours.,"Green,Mauve,Black,White,Brown",https://www.stradivarius.com/ae/basic-strappy-top-l02575251,,,
219.00,470762745,Printed heeled slingback shoes. Buckled ankle strap fastening. Heel height: 5 cm.,MULTICOLOURED,https://www.stradivarius.com/ae/printed-heeled-shoes-l19699678,,,
99.00,470763259,,Gold,https://www.stradivarius.com/ae/set-of-3-multicharm-necklaces-with-enamel-l03051904,,,
129.00,470762771,Mid-waist fitted skort with invisible side zip fastening.,Black,https://www.stradivarius.com/ae/bengaline-skort-l07404118,,,
149.00,470763273,"Fitted shirt made of a stretch viscose blend, featuring a lapel collar, V-neck, long sleeves with slits on the cuffs and hidden button fastening at the front.",Black,https://www.stradivarius.com/ae/striped-fitted-shirt-with-long-sleeves-l06056355,,,
189.00,469968217,"Midi dress in a viscose blend stretch fabric, with a round neck, mini sleeves and draped fabric at the sides. Available in several colours.","Black,Burgundy",https://www.stradivarius.com/ae/gathered-midi-dress-l06373555,,,
219.00,470114029,,Caramel,https://www.stradivarius.com/ae/faux-suede-shoulder-bag-l03645912,,,
59.00,470114031,65 x 65 cm,Brown,https://www.stradivarius.com/ae/zebra-print-scarf-l03538903,,,
219.00,470763278,"Casual smart mid-waist trousers made of a modal blend fabric for a very soft feel. Belt loops, side pockets and front darts. Straight, loose-fitting leg. Front metal hook, inside button and zip fastening. Available in several colours.",Black,https://www.stradivarius.com/ae/softtouch-smart-trousers-l04537774,,,
149.00,470762770,"Collared shirt featuring long buttoned cuffed sleeves, an elasticated gathered waist and a button-up front.",White,https://www.stradivarius.com/ae/gathered-poplin-shirt-l06215786,,,
189.00,470763258,,Black,https://www.stradivarius.com/ae/handbag-with-studded-belt-l03649901,,,
169.00,470762766,Mid-rise mini skort with belt loops. Detachable contrast belt with metal buckle. Invisible side zip fastening. Shorts-style lining. Available in several colours. Matching blazer available.,"Black,Burgundy,Dark grey",https://www.stradivarius.com/ae/smart-skort-with-belt-l04777249,,,
99.00,470762773,Round neck T-shirt with short sleeves. Layered fabric detail with a contrast double garment effect. Available in several colours.,"Dark grey,Grey melange,Stone",https://www.stradivarius.com/ae/contrast-mock-layer-tshirt-l06645893,,,
269.00,470763260,,Black,https://www.stradivarius.com/ae/bucket-bag-with-studded-belt-l03643911,,,
199.00,470114082,"Low-rise wide-leg jeans with belt loops. Featuring front pockets, back patch pockets, a straight-leg design and front zip and metal button fastening. Available in assorted colours.","MEDIUM LIGHT BLUE DENIM,BLACK DENIM WASH,LIGHT BLEACH,MEDIUM LIGHT BLUE DENIM,GREY DENIM WASH,DARK GREY DENIM WASH,MEDIUM DENIM WASH,OVERDYED BLUE DENIM",https://www.stradivarius.com/ae/d91-low-wideleg-jeans-l01441620,,,
75.00,470114046,,Grey,https://www.stradivarius.com/ae/metal-heart-belt-l03951902,,,
369.00,469968237,"Long leather effect trench coat featuring a lapel collar, long sleeves with tabs, side welt pockets, a detachable belt in the same fabric and a double-breasted button-up front.",Burgundy,https://www.stradivarius.com/ae/long-faux-leather-trench-coat-l05802173,,,
219.00,470113986,Split suede ballet flats with bow,"MAUVE ,BEIGE",https://www.stradivarius.com/ae/split-suede-ballet-flats-with-bow-l19606670,,,
119.00,470114071,"Halter top with a V-neckline and an open back with ties. Featuring shiny embroidery, a semi-sheer hem and matching lining on the chest. Available in several colours.","Brown,Black,Ecru,Purple",https://www.stradivarius.com/ae/halter-top-with-rhinestone-embroidery-l06624475,,,
219.00,470763240,High-heel wedge shoes,"BURGUNDY ",https://www.stradivarius.com/ae/highheel-wedge-shoes-l19698678,,,
219.00,470763262,"Mid-waist smart trousers with belt loops. Side pockets and false back welt pockets. Maxi darts on the front. Wide and straight-leg design. Detachable contrast belt with metal buckle. Front metal hook, inside button and zip fastening. Available in several colours.","Black,Dark grey,Brown",https://www.stradivarius.com/ae/maxi-darted-trousers-with-belt-l04538844,,,
189.00,470114075,"Fitted midi dress made of stretch fabric with metallic thread details, featuring a round neck, mini sleeves, an open back and draped fabric at the sides.",Purple,https://www.stradivarius.com/ae/open-back-midi-dress-l06276411,,,
59.00,470114036,65 x 65 cm,Pastel pink,https://www.stradivarius.com/ae/printed-scarf-l03539903,,,
299.00,469968221,Oversize jacket made of leather effect fabric. Lapel collar and long sleeves with buttoned cuffs. Side welt pockets. Elasticated hem. Front fastening with metal zip. Available in several colours.,"Brown,Black,Burgundy",https://www.stradivarius.com/ae/oversize-faux-leather-jacket-l05631587,,,
99.00,469968177,,Bubblegum pink,https://www.stradivarius.com/ae/enamelled-flower-earrings-l03167905,,,
149.00,470763257,Available in several colours.,"Mauve,Brown,Khaki",https://www.stradivarius.com/ae/faux-suede-shoulder-bag-with-pockets-l03641911,,,
99.00,470763276,Fitted top with thin straps. Featuring a round neckline with buttons and a layered double-layer contrast lace detail.,Grey melange,https://www.stradivarius.com/ae/contrast-doublelayer-strappy-top-l06757710,,,
269.00,470762751,Split suede heeled shoes,BEIGE,https://www.stradivarius.com/ae/split-suede-heeled-shoes-l19661670,,,
269.00,470763270,"Oversize, regular length blazer with a straight fit. Lapel collar and long sleeves with buttoned cuffs. False flap pockets on the front. Button-up front.",Dark grey,https://www.stradivarius.com/ae/oversize-blazer-l05910767,,,
269.00,470762760,"Oversize, regular length blazer with a straight fit. Lapel collar and long sleeves with buttoned cuffs. False flap pockets on the front. Button-up front. Available in several colours.","Burgundy,Black",https://www.stradivarius.com/ae/oversize-blazer-l05910249,,,
299.00,470762761,Short jacket made of leather effect fabric. Lapel collar and long sleeves with elastic cuffs. Chest patch pockets with buttoned flaps and contrast ribbed knit trims. Front metal zip fastening.,"Black,Brown",https://www.stradivarius.com/ae/short-leather-effect-jacket-with-pockets-l05632719,,,
169.00,470762762,Slim fit trousers made of a viscose blend stretch fabric for greater comfort and mobility. Mid-rise with an elasticated waistband. Straight fitted leg. Invisible side zip fastening. Available in several colours.,"Brown,Black,Navy blue",https://www.stradivarius.com/ae/slim-fit-trousers-l04539787,,,
189.00,470762743,Basic high-heel shoes,"BLACK ,KHAKI ",https://www.stradivarius.com/ae/basic-highheel-shoes-l19658670,,,
