prices,product id,product description,color,department,sub department,product type
75.00,470763425,Short fitted T-shirt with a round neck and wide straps. Available in several colours.,Brown,,,
269.00,470763432,Denim jacket with a contrast fabric lapel collar and long sleeves. Side pockets and patch pockets with flaps on the chest. Visible topstitching detail. Front zip fastening hidden by a snap-button placket.,RINSE BLUE DENIM,,,
299.00,470762948,Collared jacket with contrast fabric detail and long cuffed sleeves. Side pockets and patch pockets with flaps on the chest. Zip-up front and hook-and-loop straps hidden by a placket. Available in several colours.,Olive green,,,
269.00,470763427,Mid-waist cargo trousers with belt loops. Front pockets and back patch pockets. Buttoned flap pockets on the sides and a straight-leg design. Front zip and metal button fastening. Available in several colours.,Black,,,
369.00,470762946,Bomber jacket made of faded-effect fabric. High neck and long sleeves with elasticated cuffs. Front welt pockets and contrast ribbed knit trims. Front metal zip fastening hidden by a snap-button placket. Available in several colours.,Grey,,,
269.00,470762941,Mid-rise baggy jeans with belt loops. Featuring front pockets and back patch pockets. Loose-fitting straight-leg design. Front zip fly and metal top button fastening.,Grey,,,
59.00,470763429,Fitted top with a round neckline and thin straps. Available in a range of colours.,Brown,,,
299.00,470762950,Collared jacket with contrast fabric detail and long cuffed sleeves. Side pockets and patch pockets with flaps on the chest. Zip-up front and hook-and-loop straps hidden by a placket. Available in several colours.,Olive green,,,
149.00,470763428,Mid-rise trousers made of a stretch cotton blend for greater comfort. Featuring a folded waistband and a straight-leg design. Available in several colours.,Grey melange,,,
149.00,470763426,"V-neck knit cardigan with long sleeves, ribbed trims and matching front button fastening. Available in several colours.",Grey melange,,,
149.00,455321221,Mid-rise trousers made of a stretch cotton blend for greater comfort. Featuring a folded waistband and a straight-leg design. Available in several colours.,Grey melange,,,
129.00,470763431,"Fitted knit vest with a round neck, featuring ribbed trims and a button-up front. Available in several colours.",Brown,,,
99.00,470762937,Basic boat neck T-shirt with sleeves falling below the elbow.,Grey melange,,,
119.00,470762938,Fitted sleeveless top with an asymmetric neckline and gathered fabric detail on the sides.,Ecru,,,
429.00,470762944,Faux suede biker jacket. High neck and long sleeves with buttoned cuffs. Side pockets with buttoned flaps. Elastic hem with tab detail. Front metal zip fastening hidden by a snap-button placket.,Black,,,
429.00,451223216,Faux suede biker jacket. High neck and long sleeves with buttoned cuffs. Side pockets with buttoned flaps. Elastic hem with tab detail. Front metal zip fastening hidden by a snap-button placket.,Black,,,
149.00,470762768,"Straight fit collared shirt with long sleeves and buttoned cuffs. Featuring a chest patch pocket, an asymmetric hem and a button-up front.",Purple,,,
149.00,470763292,"Straight fit collared shirt with long sleeves and buttoned cuffs. Featuring a chest patch pocket, an asymmetric hem and a button-up front.",Purple,,,
219.00,470763249,Leather ballet flat-style trainers. Stitched details. Back pull tab. Hook-and-loop strap fastening. Sole height: 1.5 cm. The insole uses Ortholite® technology. This system offers significant benefits for the footwear that incorporates it. Made of polyurethane and rubber for excellent resistance and breathability.,NATURAL ,,,
75.00,470762757,,Khaki,,,
189.00,470763264,"Mid-rise trousers with belt loops. Side pockets. Front darts. Straight, wide-leg design. Crossover front fastening with zip and inside button.",Black,,,
59.00,470763256,B-BASIC - VEST TOP - FITTED - SCOOP NECK - SLEEVELESS - STRAPS - MEDIUM WEIGHT Fitted vest top with a round neckline. Available in assorted colours.,Brown,,,
219.00,470762745,Printed heeled slingback shoes. Buckled ankle strap fastening. Heel height: 5 cm.,MULTICOLOURED,,,
99.00,470763259,,Gold,,,
129.00,470762771,Mid-waist fitted skort with invisible side zip fastening.,Black,,,
149.00,470763273,"Fitted shirt made of a stretch viscose blend, featuring a lapel collar, V-neck, long sleeves with slits on the cuffs and hidden button fastening at the front.",Black,,,
59.00,470762774,B-BASIC - VEST TOP - FITTED - SCOOP NECK - SLEEVELESS - STRAPS - MEDIUM WEIGHT Fitted vest top with a round neckline. Available in assorted colours.,Brown,,,
189.00,470763277,"Mid-rise trousers with belt loops. Side pockets. Front darts. Straight, wide-leg design. Crossover front fastening with zip and inside button.",Black,,,
149.00,470763271,"Straight fit collared shirt with long sleeves and buttoned cuffs. Featuring a chest patch pocket, an asymmetric hem and a button-up front.",Purple,,,
189.00,469968217,"Midi dress in a viscose blend stretch fabric, with a round neck, mini sleeves and draped fabric at the sides. Available in several colours.",Burgundy,,,
219.00,470114029,,Caramel,,,
59.00,470114031,65 x 65 cm,Brown,,,
199.00,469968234,Low-rise jeans with belt loops. Featuring front pockets and back patch pockets. Super wide-leg design. Front zip and metal button fastening. Available in several colours.,OVERDYED BLUE DENIM,,,
199.00,469968235,Low-rise jeans with belt loops. Featuring front pockets and back patch pockets. Super wide-leg design. Front zip and metal button fastening. Available in several colours.,OVERDYED BLUE DENIM,,,
219.00,470763278,"Casual smart mid-waist trousers made of a modal blend fabric for a very soft feel. Belt loops, side pockets and front darts. Straight, loose-fitting leg. Front metal hook, inside button and zip fastening. Available in several colours.",Black,,,
149.00,470762770,"Collared shirt featuring long buttoned cuffed sleeves, an elasticated gathered waist and a button-up front.",White,,,
189.00,470763258,,Black,,,
169.00,470762766,Mid-rise mini skort with belt loops. Detachable contrast belt with metal buckle. Invisible side zip fastening. Shorts-style lining. Available in several colours. Matching blazer available.,Dark grey,,,
99.00,470762773,Round neck T-shirt with short sleeves. Layered fabric detail with a contrast double garment effect. Available in several colours.,Stone,,,
169.00,470762777,Mid-rise mini skort with belt loops. Detachable contrast belt with metal buckle. Invisible side zip fastening. Shorts-style lining. Available in several colours. Matching blazer available.,Dark grey,,,
169.00,470763287,Mid-rise mini skort with belt loops. Detachable contrast belt with metal buckle. Invisible side zip fastening. Shorts-style lining. Available in several colours. Matching blazer available.,Dark grey,,,
269.00,470763260,,Black,,,
199.00,470114082,"Low-rise wide-leg jeans with belt loops. Featuring front pockets, back patch pockets, a straight-leg design and front zip and metal button fastening. Available in assorted colours.",OVERDYED BLUE DENIM,,,
75.00,470114046,,Grey,,,
369.00,469968237,"Long leather effect trench coat featuring a lapel collar, long sleeves with tabs, side welt pockets, a detachable belt in the same fabric and a double-breasted button-up front.",Burgundy,,,
219.00,470113986,,BEIGE,,,
199.00,470114081,Low-rise jeans with belt loops. Featuring front pockets and back patch pockets. Super wide-leg design. Front zip and metal button fastening. Available in several colours.,OVERDYED BLUE DENIM,,,
119.00,470114071,"Halter top with a V-neckline and an open back with ties. Featuring shiny embroidery, a semi-sheer hem and matching lining on the chest. Available in several colours.",Purple,,,
219.00,470763240,,BURGUNDY ,,,
219.00,470763262,"Mid-waist smart trousers with belt loops. Side pockets and false back welt pockets. Maxi darts on the front. Wide and straight-leg design. Detachable contrast belt with metal buckle. Front metal hook, inside button and zip fastening. Available in several colours.",Brown,,,
189.00,470114075,"Fitted midi dress made of stretch fabric with metallic thread details, featuring a round neck, mini sleeves, an open back and draped fabric at the sides.",Purple,,,
59.00,470114036,65 x 65 cm,Pastel pink,,,
