Product_id,Product_name,Brand,Regular_price,Selling_price,Promotion_description,Currency,Pdp_url,Breadcrumb,Product_description,Color,Size,Rating,Review,Features,Material_Care_instruction,Availability,Image_url
22123344,Baby Girls Cotton Shell-Print Sleeveless Romper,Carter's," 1,428.00", 571.00, 60% off,INR,https://www.macys.com/shop/product/carters-baby-girls-cotton-shell-print-sleeveless-romper?ID=22123344#PAGEINDEX/17,Kids>Baby Clothing (0-24 months),"Designed with an adorable allover seashell print and snaps at the legs, this soft cotton romper from Carter's gets baby dressed and out the door in no time.",[],"['6 months', '9 months']",4.9,121,"Square neckline,Sleeveless  ,Snap closures at bottom,Allover shell print,100% cotton,Machine wash,Imported","100% cotton,Machine wash,Allover shell print",,"['https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32416045_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/32416052_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/33139065_fpx.tif']"
20738929,"Baby Sunny Day Striped Cotton Sweater & Cody Stripe Pants, Exclusively at Macy's	",First Impressions," 2,677.00"," 1,338.00", 50% off,INR,https://www.macys.com/shop/product/baby-sunny-day-striped-cotton-sweater-cody-stripe-pants-exclusively-at-macys?ID=20738929#PAGEINDEX/17,Kids>Sets & Outfits,Mix and match adorable stripes for a sweet and comfy look for baby with this long-sleeve sweater and pull-on pants from First Impressions.,"['Angel Whit', 'Blue Whisp']","['Newborn', '0-3 months', '3-6 months', '6-9 months', '12 months', 'Newborn', '0-3 months', '3-6 months', '6-9 months', '12 months']",,,"Select specific item for details,Macy's Exclusive",,,['https://slimages.macysassets.com/is/image/MCY/products/2/optimized/31214062_fpx.tif']
19710598,Toddler and Little Girls Bows Long Sleeve Plush Pullover Sweatshirt,Hello Kitty," 3,391.00"," 1,350.00", 60% off,INR,https://www.macys.com/shop/product/hello-kitty-toddler-little-girls-bows-long-sleeve-plush-pullover-sweatshirt?ID=19710598#PAGEINDEX/17,Kids>Sweatshirts & Hoodies,Look adorable in the featuring a graphic design print of hello kitty.,[],"['2T', '3T']",3.2,4,"Imported,Long sleeve pullover,Soft plush fabrication,Rib fabrication at neckband, cuffs and waistband,Front graphic design,Scoop neck","100% polyester,Machine washable",,"['https://slimages.macysassets.com/is/image/MCY/products/3/optimized/30901273_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/30901282_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/30901286_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/30901494_fpx.tif']"
19836239,Toddler Girls Hello Kitty Two-Piece Swimsuit,Dreamwave," 2,677.00"," 1,071.00", 60% off,INR,https://www.macys.com/shop/product/dreamwave-toddler-girls-hello-kitty-two-piece-swimsuit?ID=19836239#PAGEINDEX/17,Kids>Swimsuits,"Dreamwave's two-piece Hello Kitty swimsuit is made from stretchy fabric with a tagless design. It offers flexible movement and comfort both in and out of the water. The pull-on design allows for easy wear, and the UPF 50+ rated material provides added protection from UV rays.",[],[],5,2,"Set includes: 1 swim top and 1 swim bottom,Top: scoop neckline; racerback; Hello Kitty graphic at front; allover dot print; contrast ruffled hem,Bottom: pull-on; contrast ruffled trim at waist; allover dot print,Fully lined,UPF 50+; flexible stretch fabric; tagless design,Shell & lining: 85% polyester, 15% spandex,Machine wash,Imported","Machine wash,Shell & lining: 85% polyester, 15% spandex",,"['https://slimages.macysassets.com/is/image/MCY/products/3/optimized/31117573_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/31117604_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/31117605_fpx.tif']"
10177212,Big Girls V-Neck Pleated Jumper,French Toast," 2,051.00"," 1,025.00", 50% off,INR,https://www.macys.com/shop/product/french-toast-big-girls-v-neck-pleated-jumper?ID=10177212#PAGEINDEX/17,Kids>Dresses,"A modern classic, our V-neck jumper features all-around permanent pleats for a crisp, polished look that lasts all day. Knee-length style is perfect to layer over any top and has an easy elastic waist for comfort and fit.",[],"['16', '18', '20']",5,1,"50 wash tested shrink and fade resistant,V-neck,Elastic waistband for easy dressing,Polyester,Machine Wash Cold with Like Colors, Only Non Chlorine Bleach When Needed, Tumble Dry Low, Cool Iron If Needed,Imported","50 wash tested shrink and fade resistant,Machine Wash Cold with Like Colors, Only Non Chlorine Bleach When Needed, Tumble Dry Low, Cool Iron If Needed,Polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/0/optimized/15141070_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/15141069_fpx.tif']"
19879874,"Toddler Girl Solid Twirl Shorts, Exclusively at Macy's",Epic Threads," 1,071.00", 535.00, 50% off,INR,https://www.macys.com/shop/product/epic-threads-toddler-girl-solid-twirl-shorts-exclusively-at-macys?ID=19879874#PAGEINDEX/17,Kids>Shorts,This solid pair of pull-on shorts by Epic Threads features an elasticized waist.,[],[],4.2,4,"Pulls on,Elasticized waist,Solid design,Macy's Exclusive,95% cotton, 5% spandex,Machine wash,Imported","95% cotton, 5% spandex,Machine wash", Low Stock ,"['https://slimages.macysassets.com/is/image/MCY/products/7/optimized/31062867_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/31062873_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/31062872_fpx.tif']"
20008034,"Toddler Boys 2T-4T Stitch's Beach Club Graphic Short-Sleeve T-Shirt, Exclusively at Macy's",Epic Threads," 1,606.00", 642.00, 60% off,INR,https://www.macys.com/shop/product/epic-threads-toddler-boys-2t-4t-stitchs-beach-club-graphic-short-sleeve-t-shirt-exclusively-at-macys?ID=20008034#PAGEINDEX/17,Kids>Shirts & Tops,"Perfect for relaxing and fun days, this Epic Threads T-shirt features playful Stitch-themed graphics at the front and back.",[],[],4.2,5,"Crewneck,Short sleeves,""Stitch's Beach Club"" graphics at left chest and back,Macy's Exclusive,60% cotton, 40% polyester,Machine wash,Imported","60% cotton, 40% polyester,Machine wash",,"['https://slimages.macysassets.com/is/image/MCY/products/4/optimized/30991334_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/30991336_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/30991337_fpx.tif']"
20603895,"Baby Girls Tulips Cotton Cardigan, Hat & Footed Pants, 3 Piece Set",Little Me," 3,391.00"," 1,780.00", 48% off,INR,https://www.macys.com/shop/product/little-me-baby-girls-tulips-cotton-cardigan-hat-footed-pants-3-piece-set?ID=20603895#PAGEINDEX/17,Kids>Sets & Outfits,"Pretty tulips bring sweet style to this three-piece cotton set from Little Me! The set includes a cozy tulip-detail cardigan, coordinating footed pants, and a matching hat.",[],"['Newborn', '3 months', '6 months', '9 months']",5,3,"Set includes: 1 hat, 1 cardigan and 1 pair of pants,Hat: tulip-print bow at cuff,Cardigan: crewneck; long sleeves; snap closures at front; tulip details at front,Pants: pull-on; allover tulip print; footed,Scratch-free label,100% cotton,Machine wash,Imported","100% cotton,Machine wash",,"['https://slimages.macysassets.com/is/image/MCY/products/2/optimized/31131862_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/31131863_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/31131864_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/31131865_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/31131866_fpx.tif']"
12343312,"Baby Boys or Baby Girls Fold Over Cuff Booties, Pack of 4",Carter's," 1,428.00", 714.00, 50% off,INR,https://www.macys.com/shop/product/carters-baby-boys-or-baby-girls-fold-over-cuff-booties-pack-of-4?ID=12343312#PAGEINDEX/17,Kids>Underwear & Socks,Carter's makes sure baby is ready from head to toe with this convenient four-pack of booties.,[],[],4.9,100,"4-pack,Non-skid soles,Cotton/polyester/elastane,Machine washable,Imported","Cotton/polyester/elastane,Machine washable",,"['https://slimages.macysassets.com/is/image/MCY/products/4/optimized/19160864_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/32045554_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32064795_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/0/optimized/29661300_fpx.tif']"
20784517,"Baby PurelySoft Pants, Pack of 2",PurelySoft by carter's," 1,606.00", 642.00, 60% off,INR,https://www.macys.com/shop/product/purelysoft-by-carters-baby-purelysoft-pants-pack-of-2?ID=20784517#PAGEINDEX/17,Kids>Pants & Leggings,"Crafted in PurelySoft in two sweet designs, these pull-on pants from PurelySoft by Carter's are great for stocking up.",[],[],4.8,17,"Set includes: 2 pairs of pants in assorted solid-hue or printed designs,Pull-on with covered elastic waistband,OEKO-TEX® STANDARD 100 certified. Tested in an independent lab and verified to be safe from over 1,000 harmful substances [20.HUS.39362 | Hohenstein HTTI],Viscose/elastane,Machine washable,Imported","Machine washable,Viscose/elastane", Low Stock ,"['https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31495898_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/31495965_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/31495967_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31495968_fpx.tif']"
