unique_id,product_name,brand,product_description,selling_price,currency,pdp_url,color
T251440M,Regular Fit Cotton Rich Short Sleeve Shirt,M&S Collection,"With its textured stripes, this cotton-rich shirt will make a stylish addition to your smart-casual wardrobe. It's cut to a comfortable regular fit, with a classic collar and cool short sleeves.
M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",30.00,£,https://www.marksandspencer.com/regular-fit-cotton-rich-short-sleeve-shirt/p/clp60740854?color=GREENMIX#intid=pid_pg1pip48g4r5c1%7Cprodflag_New,Green Mix
T252595M,Pure Cotton Herringbone Overshirt​,M&S Collection,"With its herringbone weave, this pure cotton overshirt brings a subtle textured look to outfits. It's cut in a regular fit, with a classic collar and button-through front. Two chest pockets create a utility vibe.
M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",40.00,£,https://www.marksandspencer.com/pure-cotton-herringbone-overshirt/p/clp60741724?color=CEDAR#intid=pid_pg1pip48g4r4c4%7Cprodflag_New,Cedar
T281497M,Pure Cotton Nirvana® T-Shirt,M&S Collection,Rock a classic grunge look with this pure cotton Nirvana® t-shirt. Made to a comfy regular fit with a crew neck and short sleeves. The graphic features the band's iconic smiley face logo with the band's name across the top. M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.,20.00,£,https://www.marksandspencer.com/pure-cotton-nirvana-t-shirt/p/clp60752487#intid=pid_pg1pip48g4r4c3%7Cprodflag_New,Black
T165086M,Cotton Rich Hooded Utility Jacket,M&S Collection,"This cotton-rich utility jacket is a versatile layer that blends everyday comfort with practical style. Made to a boxy, relaxed fit, with a secure zip fastening. The adjustable hood helps to protect you from the elements, while two patch pockets on the chest keep your essentials handy.  
M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",70.00,£,https://www.marksandspencer.com/cotton-rich-hooded-utility-jacket/p/clp60755910#intid=pid_pg1pip48g4r4c2%7Cprodflag_New,Khaki
T281414M,Cotton Rich Oasis Graphic Hoodie,M&S Collection,"Celebrate your love for the legendary band Oasis with this cotton-rich hoodie. Roomy oversized fit, with cosy long sleeves and a kangaroo pocket. Graphic on the chest features the band's logo in a bold, block design.

M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",40.00,£,https://www.marksandspencer.com/cotton-rich-oasis-graphic-hoodie/p/clp60751297#intid=pid_pg1pip48g4r4c1%7Cprodflag_New,Black
T251398M,Cotton Rich Palm Embroidered Shirt,M&S Collection,"This cotton-rich shirt is embroidered all-over with palm-leaf motifs for a dash of pattern. Relaxed fit, with dropped shoulders on the short sleeves for a laid-back look and feel. Complete with a cuban collar to deliver a stylish finish.
M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",38.00,£,https://www.marksandspencer.com/cotton-rich-palm-embroidery-shirt/p/clp60757781#intid=pid_pg1pip48g4r3c4%7Cprodflag_New,Navy Mix
T251443M,Cotton Blend Textured Knitted Shirt,M&S Collection,"With its textured knit, this cotton-blend shirt brings a stylish tactile element to your smart-casual wardrobe. It's made to a regular fit with short sleeves and a reverse collar for a laid-back look. Same-colour buttons complete the neat look.
M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",35.00,£,https://www.marksandspencer.com/cotton-blend-textured-knitted-shirt/p/clp60740952?color=MOLE#intid=pid_pg1pip48g4r3c3%7Cprodflag_New,Mole
T301770A,Mercerised Cotton Colour Block Knitted Polo Shirt,Autograph,"Fashioned from mercerised pure cotton yarn, this knitted polo shirt from our Autograph collection looks lustrous and feels luxurious. The robust colour block design is ultra-modern. The half-zip fastening at the collared neck makes this eye-catching piece easy to slip on and off.
 
 Autograph: premium investment pieces featuring contemporary cuts and refined finishing touches.",45.00,£,https://www.marksandspencer.com/mercerised-cotton-colour-block-knitted-polo-shirt/p/clp60734165#intid=pid_pg1pip48g4r3c2%7Cprodflag_New,Black Mix
T251443M,Cotton Blend Textured Knitted Shirt,M&S Collection,"With its textured knit, this cotton-blend shirt brings a stylish tactile element to your smart-casual wardrobe. It's made to a regular fit with short sleeves and a reverse collar for a laid-back look. Same-colour buttons complete the neat look.
M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",35.00,£,https://www.marksandspencer.com/cotton-blend-textured-knitted-shirt/p/clp60740952?color=SMOKEYGREEN#intid=pid_pg1pip48g4r3c1%7Cprodflag_New,Smokey Green
T252595M,Pure Cotton Herringbone Overshirt​,M&S Collection,"With its herringbone weave, this pure cotton overshirt brings a subtle textured look to outfits. It's cut in a regular fit, with a classic collar and button-through front. Two chest pockets create a utility vibe.
M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",40.00,£,https://www.marksandspencer.com/pure-cotton-herringbone-overshirt/p/clp60741724?color=NATURAL#intid=pid_pg1pip48g4r2c4%7Cprodflag_New%7Cprodflag_plp_ts_QP_38,Natural
T285097M,Pure Cotton Textured Tipped Polo Shirt,M&S Collection,"This textured pure cotton polo shirt is a go-to for effortlessly smart looks. It's cut to a regular fit with a two-button placket and neat collar. A contrasting colour on the collar and cuffs lends a stylish touch.
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",30.00,£,https://www.marksandspencer.com/pure-cotton-textured-tipped-polo-shirt/p/clp60744355?color=MUSHROOM#intid=pid_pg1pip48g4r2c3%7Cprodflag_New,Mushroom
T251440M,Regular Fit Cotton Rich Short Sleeve Shirt,M&S Collection,"With its textured stripes, this cotton-rich shirt will make a stylish addition to your smart-casual wardrobe. It's cut to a comfortable regular fit, with a classic collar and cool short sleeves.
M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",30.00,£,https://www.marksandspencer.com/regular-fit-cotton-rich-short-sleeve-shirt/p/clp60740854?color=BLUEMIX#intid=pid_pg1pip48g4r2c2%7Cprodflag_New,Blue Mix
T250109M,Regular Fit Pure Linen Striped Shirt,M&S Collection,"Timeless stripes and pure linen fabric make this long-sleeved shirt a summer staple. It's cut to a regular fit for a comfortable feel. A classic collar, button-through fastening and buttoned cuffs add crisp finishing touches.
M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",45.00,£,https://www.marksandspencer.com/regular-fit-pure-linen-striped-shirt/p/clp60746716#intid=pid_pg1pip48g4r2c1%7Cprodflag_New,Sage
T288141M,Seersucker Swim Shorts,M&S Collection,"Make a splash in these stylish swim shorts. Made in a regular fit from textured seersucker fabric with a vertical striped pattern. An elasticated waist with a drawstring fastening ensures they stay securely in place. They're lined for comfort and feature handy side-entry pockets.
M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",25.00,£,https://www.marksandspencer.com/seersucker-swim-shorts/p/clp60745230?color=NAVY#intid=pid_pg1pip48g4r1c4%7Cprodflag_New%7Cprodflag_plp_ts_QP_36,Navy
T285097M,Pure Cotton Textured Tipped Polo Shirt,M&S Collection,"This textured pure cotton polo shirt is a go-to for effortlessly smart looks. It's cut to a regular fit with a two-button placket and neat collar. A contrasting colour on the collar and cuffs lends a stylish touch.
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",30.00,£,https://www.marksandspencer.com/pure-cotton-textured-tipped-polo-shirt/p/clp60744355?color=NAVY#intid=pid_pg1pip48g4r1c3%7Cprodflag_New%7Cprodflag_plp_ts_QP_25,Navy
T175382F,Loose Fit Cotton Linen Blend Elasticated Trousers,M&S Collection,"These linen-blend trousers are perfect for smart-casual summer wear. They're made to a loose fit from a linen-cotton blend that's lightweight and breathable, with added stretch for comfort. An elasticated waist with a drawstring fastening keeps them securely in place. The vertical striped pattern gives them a stylish look.",35.00,£,https://www.marksandspencer.com/loose-fit-linen-blend-elasticated-trousers/p/clp60716477?color=DARKNAVY#intid=pid_pg1pip48g4r1c2%7Cprodflag_New%7Cprodflag_plp_ts_QP_100+,Dark Navy
T165076M,4 Pocket Hooded Field Jacket,M&S Collection,"This utility field jacket is perfect for layering up in style. It's lined for comfort and features a secure zip fastening. Four outer pockets with popper fastenings keep your essentials handy. A hood provides protection from the elements.
M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",65.00,£,https://www.marksandspencer.com/4-pocket-hooded-field-jacket/p/clp60743660#intid=pid_pg1pip48g4r1c1%7Cprodflag_New,Light Putty
