Brand,brand_type,Platform,Post ID/URL,Post Date/Time,User Handle,User Type,Post Text/Caption,Post Type,Media Type,Mentions Type,Hashtags Used,Engagement - Likes,Engagement - Comments,Engagement - Shares/Retweets,Views (Video),Common Keywords,Region,Language,Top Theme Tags,Campaign Tag,Image/Video URL
morrisons,,facebook,https://www.facebook.com/Morrisons/posts/782667840780030,2025-08-25 14:00:33+00:00,,,"Shop our Baby & Toddler Event now! 🍼🧸 Discover amazing deals on all the essentials for your little ones – available now, in-store & online! ✨🛍️",,,,,48,24,9,,,,,,,https://scontent-atl3-3.xx.fbcdn.net/v/t39.30808-6/536272789_782667764113371_9205246659525087053_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=vVFFYRsdGXwQ7kNvwEpDjOQ&_nc_oc=Adn82jRBeLAxNxWjmGOwZP7_izQsEJB6EmZDivAie3oMlKDHOjdoApTrOes19zgsppI&_nc_zt=23&_nc_ht=scontent-atl3-3.xx&_nc_gid=EaXboLPzp_dmkZBXgJVWxQ&oh=00_AfXFjNCZt_uK6q1xiekCAJFl2XRlWVy_0urrzhUe3XlRwg&oe=68B7160B
morrisons,,facebook,https://www.facebook.com/Morrisons/posts/782557484124399,2025-08-25 11:00:16+00:00,,,Pumpkin Spice season has officially arrived🧡... Check out our new in Nutmeg Home collection in store now🍂,,,,,98,12,4,,,,,,,https://scontent-atl3-3.xx.fbcdn.net/v/t51.82787-15/536622961_18519413248004171_448694153317035294_n.jpg?stp=dst-jpegr_s600x600_tt6&_nc_cat=110&ccb=1-7&_nc_sid=127cfc&_nc_ohc=ZWTwNYQyAhUQ7kNvwEU0WDF&_nc_oc=AdnooroCSxZVvGWLakPoHnSkbJBayA4yUEP1EAHapZgy_0FJu5MwmGMCCbIztRDeCQw&_nc_zt=23&se=-1&_nc_ht=scontent-atl3-3.xx&_nc_gid=EaXboLPzp_dmkZBXgJVWxQ&oh=00_AfWaVdkI1Q6iD5yf1pUqHFSV_V_XQ3gm3q0kbMbuZYVXVA&oe=68B7259B
morrisons,,facebook,https://www.facebook.com/Morrisons/posts/pfbid0gBC7Qi9PWnRFizkCnfHRNkEqQj2bLs4Q3NXURng92RysFMDjBR6u19MP1RwGaXttl,2025-08-25 08:00:15+00:00,,,"Hosting this summer? Pick up one of our Food to Order summer bundles for £65, party planning never felt easy✨",,,,,88,24,16,,,,,,,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/539250110_782461424134005_2016350638143969376_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=pahPEQ3twYEQ7kNvwGC3baL&_nc_oc=Adm2AgmMI42s199rqTGlkK8vRXQWWMiiQjMfQBWPrR2QTM8R2eUdpx2yGV-B_GpEYtk&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&_nc_gid=DNQ6_mZLedbFKWltWvDiWQ&oh=00_AfURVTxxQ6wj9DTom1tstwuQUCTw8DRY6YqKs-CE8n2T2Q&oe=68B72F3D
morrisons,,facebook,https://www.facebook.com/Morrisons/posts/pfbid0328bkuMviwfNee9JST6gAQALxP5AS74cx6CTgDVZPKmf5ZFdvz15d7t7pbXPvZRTvl,2025-08-24 11:00:14+00:00,,,"Lilo & Stitch fans, this ones for you🏄🌸 #Lilo&Stitch",,,,,137,148,52,,,,,,,https://scontent-ord5-3.xx.fbcdn.net/v/t39.30808-6/537859211_781795054200642_3263877882072782123_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=vMX2rqeJhh0Q7kNvwEyzRki&_nc_oc=Adl98Gl4n7Yxybv51kAjyxYpIPELtYRpux9j8U147QMw8oLL8RRJnttmRCV7qUjJTno&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&_nc_gid=DNQ6_mZLedbFKWltWvDiWQ&oh=00_AfW-6EWYl0eUiYc-f6LB2VqMj-J7odEvthfroErqdTpjmw&oe=68B73DE8
morrisons,,facebook,https://www.facebook.com/Morrisons/posts/pfbid021c8aa3FmMkNZmwFyGP8XbyvQLnVY2cWtdjr59qezhkGPirUhH7X2Y2XpSd3vFiapl,2025-08-24 07:00:14+00:00,,,"This month we are painting it yellow for our charity partner @mariecurie you may have seen our yellow Every Pack Gives Back products in store but that is not all we are up to💛 Across the country colleagues at our stores, sites and head office are going big and bright to raise as much as they can to help improve end of life care in local communities Over the last week we have seen yellow raffles, tombolas, bake sales, quizzes, bike rides, walks, car boot sales, bucket collections and more all to help us reach our target of raising £1 million in just one month and we are not done yet. Pop down to your local store this week and help us continue to paint it yellow💛✨",,,,,208,21,12,,,,,,,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/536281276_781665050880309_8461098991483568518_n.jpg?stp=dst-jpg_p565x565_tt6&_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=EdwPTGI0p3AQ7kNvwEJ5255&_nc_oc=AdlI8iE6sD6dc3xKbbC4UgY-bMJ7cpXlDsASUf9uFo6cslP_WufBAtRemzQFoiTEq0Y&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&_nc_gid=DNQ6_mZLedbFKWltWvDiWQ&oh=00_AfUDdRkGPjDdUCzEEUUwm_8ZZvy_M7yKVHBlLBcEkYqEvQ&oe=68B747E2
morrisons,,facebook,https://www.facebook.com/reel/1808389666697066/,2025-08-23 07:00:10+00:00,,,"Cosy season incoming🤭... Head down to your local store to shop our NEW Nutmeg autumn collection, a must for the pumpkin spice season💚",,,,,180,19,11,,,,,,,https://scontent.fagc1-1.fna.fbcdn.net/v/t51.71878-10/534827116_2589415944747353_7594884711597355763_n.jpg?stp=dst-jpg_p296x100_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c44d43&_nc_ohc=jJ69rV1f6_wQ7kNvwF5aZoB&_nc_oc=Adna2ndE6xW65DvgP78jHKMnjE3D9R5xR0-SLm3pFXMXl0TkgLQUDoTCOBmepAOI9so&_nc_zt=23&_nc_ht=scontent.fagc1-1.fna&_nc_gid=oCIwAD1Zg4ioWfke84JS3w&oh=00_AfWDGx6mcPr3rRSVTyFGiYJTb6TDC2xNT4IasWr1mTEXHw&oe=68B733D6
morrisons,,facebook,https://www.facebook.com/Morrisons/posts/pfbid02ujiru6r6CXBqrBTnb5hfv6U8T4uRfPR2DQzsoXLrwdUVH74dM4wuxUtx4xcfXXiXl,2025-08-22 16:00:26+00:00,,,🗓️ Save the date! The Baby & Toddler Event is back 👶🍼 Shop amazing deals for your little ones 🧸🛒 in-store and online from August 25th… see you there! ✨,,,,,198,469,74,,,,,,,https://scontent.fagc1-1.fna.fbcdn.net/v/t39.30808-6/535990867_780451547668326_1620937708338862675_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=9aCKs4mIx1AQ7kNvwHd92ud&_nc_oc=AdmYDArz_UpaVIB49-ZOOIQ0uOCMNXtv5vMx4Kw1WrcEQGJbDbKtMHe_gCVdvME6Ub4&_nc_zt=23&_nc_ht=scontent.fagc1-1.fna&_nc_gid=oCIwAD1Zg4ioWfke84JS3w&oh=00_AfWWjAaXb231ZB8LRmW1_4oJ3yEQ3g8x1460tUcGxt1xZA&oe=68B71EEC
morrisons,,facebook,https://www.facebook.com/Morrisons/posts/pfbid02R41tgtrXFqq259wghv9GakTidfAfBaTnSoYcXayBk4mp6Fa7hDJXD7croU4noou3l,2025-08-22 11:00:20+00:00,,,"Belvoir & Tonic? Fuel & Fairy? Which ones are you picking? 🌼 As part of our aim to raise £15 million for Marie Curie by October 2027, for every product sold from the 'Every Pack Gives Back' range live in store and online now a percentage of the sale price will be donated to Marie Curie to help families get the best end of life care possible, whatever the illness, wherever they are 💛",,,,,52,8,9,,,,,,,https://scontent.fagc1-1.fna.fbcdn.net/v/t39.30808-6/536270879_780257154354432_8362238206198461226_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=syzzpmNpkTAQ7kNvwGrQXDT&_nc_oc=AdkolpBLdeDA4v3OxF_9rswQTP8rkVRfjTr3XdUEuIdoVe6DENl0_RKCQTj0YaJ3FnM&_nc_zt=23&_nc_ht=scontent.fagc1-1.fna&_nc_gid=oCIwAD1Zg4ioWfke84JS3w&oh=00_AfWrIQ8IcCS0E-KDKpKn2r2Wpj4UKaiG6tLGousI6jqXbw&oe=68B74532
morrisons,,facebook,https://www.facebook.com/Morrisons/posts/pfbid0m9HhFM8rYx3waw3PmdgHaEmGdgCu36XaamfwWtFg93qmFRcAESmDjQtyWaLcpoCQl,2025-08-22 08:00:16+00:00,,,🌟Weekly colleague shout outs🌟 👏Well done to Katie for winning the customer first award! 👏Shoutout to Mark who is celebrating his 30th Morriversary! 👏Thank you to team Heckmondwike for their amazing Cake Shop set up. It looks amazing!,,,,,185,33,7,,,,,,,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/536269643_780156007697880_2535606385453544417_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=7u4C59mfIlUQ7kNvwHGfO1X&_nc_oc=AdliwL9TCIfsK93V3vyPCmM_SququHx-zLTtbfzcRl9yojBW2OiHu2DS1ayxLny7PGM&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&_nc_gid=lEOymYwFpX0nU8diWpoN8w&oh=00_AfU0YZBmA4Zosf0lk2nNVA6c46RoTAjZINxkZU97G_7atA&oe=68B73756
morrisons,,facebook,https://www.facebook.com/Morrisons/posts/pfbid031HEhsknbKZnCJwivVSVP41uRp1PQbQJu2jjCyW9H7BQ4o9ao9QBJq7RSU3Yhd3cBl,2025-08-21 15:00:02+00:00,,,Does the Summer Snacking stage tickle your pickle? 🥒 Or perhaps you’re going gaga over the gammon steaks on the Main Stage.. 💚 What’s your ultimate Morrisons festival line-up? 🤔,,,,,30,5,0,,,,,,,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/536270732_779629344417213_4307532627823265333_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=104&ccb=1-7&_nc_sid=127cfc&_nc_ohc=lzpyuMgygcUQ7kNvwEzuHPQ&_nc_oc=AdmbIsHrLk_67Bm2xAHJp4oIPo6QiSS6PYgdpFaDB7vEMm_0xzw0CSCBIefZaZ7HhnA&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&_nc_gid=lEOymYwFpX0nU8diWpoN8w&oh=00_AfV-FQDG1-eXRXkrHhGmdzMI8k5Yz1GNIzyk99EX5gcH1A&oe=68B72DA6
