Pdp Url,Brand,Product Name,Pack Size,Price Per Pack,Price per Kg or L,Promotion,Product Description,Ingredients,Legal Name
https://www.carrefour.fr/p/barres-chocolatees-lait-kinder-4008400221823,KINDER,Barres chocolatées Lait KINDER,18 barres - 378g,5.19,13.73," 30% d'économies ","Kinder Maxi, c'est la barre au goût unique de chocolat Kinder que je connais depuis toujours. Retrouvez le temps d'une pause l'insouciance de votre enfance, en taille adulte !","Chocolat supérieur au LAIT 40% (sucre, LAIT en poudre, beurre de cacao, pâte de cacao, émulsifiants : lécithines SOJA, vanilline), sucre, LAIT écrémé en poudre, huile de palme, BEURRE concentré, émulsifiants : lécithines SOJA, vanilline.",KINDER MAXI : Chocolat supérieur au lait avec fourrage au lait
https://www.carrefour.fr/p/tablette-de-chocolat-noisette-kitkat-3800020491409,KITKAT,Tablette de chocolat noisette KITKAT,la tablette de 99g,1.99,20.10," PROMO : 20% ","Laissez-vous séduire par KitKat Tablette, une toute nouvelle expérience multisensorielle. L'iconique gaufrette croustillante KitKat, un coeur noisette onctueux, enrobés d'un généreux nappage au chocolat marbré. À consommer à la maison, seul ou à partager. Une délicieuse recette, à retrouver également avec un coeur cacao et un coeur caramel salé. HAVE A BREAK, HAVE A KITKAT**. *Une pause. **Un brea…","Ingrédients : Sucre, pâte da cacao*, matières grasses végétales (palme, karité), farine de BLE, LAIT écrémé en poudre, beurre de cacao*, PETIT-LAIT filtré en poudre, sirop de glucose, matière grasse de LAIT anhydre, pâte de NOISETTES 2.1%, cacao maigre*, émulsifiant (lécithines), sel, arôme naturel, poudre à lever (carbonate de sodium). Peut contenir : ARACHIDES. *Bilan massique certifié Rainfores…",Gaufrette croustillante enrobée de chocolat au lait (50.9%) et de chocolat (11.9%) avec un fourrage (20.3%) à la noisette aromatisé.
https://www.carrefour.fr/p/bonbons-mini-red-team-carambar-3664346352123,CARAMBAR,Bonbons Mini red team CARAMBAR,le pacquet de 350g,3.49,9.97," Le 2ème à -68% ","L'équipe des Mini Fruits Rouges est de sortie ! Un assortiment fruité et barré de Mini Carambar pour un moment 100% plaisir, à partager !","Ingrédients : Sirop de glucose (origine UE), sucre, huile de palme, acidifiant (acide citrique), gélatine, arômes naturels, denrée alimentaire colorante (jus concentré de carotte noire), émulsifiant (E471), colorant (charbon végétal médicinal). Peut contenir LAIT et FRUITS A COQUE.Fabriqué en France.",Confiseries aromatisées. Parfums assortis.
https://www.carrefour.fr/p/nougat-tendre-de-montelimar-reflets-de-france-3245390021700,REFLETS DE FRANCE,Nougat Tendre de Montélimar REFLETS DE FRANCE,le paquet de 200g,4.35,21.75,,,"Sucre, AMANDES 30%, miel 19%, sirop de glucose, pain azyme (fécule de pomme de terre, eau, huile de tournesol), blanc d'ŒUF, arôme naturel de vanille.",Nougat de Montélimar
https://www.carrefour.fr/p/bonbons-pastilles-de-vichy-reflets-de-france-3245390178695,REFLETS DE FRANCE,Bonbons pastilles de Vichy REFLETS DE FRANCE,le paquet de 230g,1.09,4.74,,,"Sucre (origine France), émulsifiant : sels de magnésium d'acides gras, sels minéraux extraits des eaux du bassin de vichy 0,3%, arôme naturel de menthe, sirop de glucose.",
https://www.carrefour.fr/p/tablette-de-chocolat-noir-74-bio-carrefour-bio-3270190127765,CARREFOUR BIO,Tablette de Chocolat Noir 74% Bio CARREFOUR BIO,la tablette de 100g,1.69,16.90," Le 2ème à -20% ",,"Pâte de cacao* (fèves de cacao d'origine Equateur et/ou Pérou et/ou Sao Tomé), sucre*, beurre de cacao*, émulsifiant : lécithines* (tournesol), extrait de vanille*. *biologique.",Chocolat noir issu de l'agriculture biologique. Pur beurre de cacao
https://www.carrefour.fr/p/tablette-de-chocolat-noir-noisettes-entieres-carrefour-extra-3560070776177,CARREFOUR EXTRA,Tablette de Chocolat Noir Noisettes Entières CARREFOUR EXTRA,la tablette de 200g,2.09,10.45," -15% Mardi PASS ",,"Pâte de cacao, sucre, NOISETTES entières torréfiées 25%, beurre de cacao, matière grasse de LAIT anhydre, émulsifiant : lécithines. Cacao : 50% minimum dans le chocolat noir.",Chocolat noir aux noisettes entières
https://www.carrefour.fr/p/nougat-blanc-de-montelimar-reflets-de-france-3245390021670,REFLETS DE FRANCE,Nougat Blanc de Montélimar REFLETS DE FRANCE,le sachet de 200g,3.99,19.95,,,"Sucre, AMANDES 30%, miel 19%, sirop de glucose, pain azyme (fécule de pomme de terre, eau, huile de tournesol), blanc d'OEUF, arôme naturel de vanille. Peut contenir des Traces d'autres FRUITS A COQUE.",
https://www.carrefour.fr/p/bonbons-marshmallows-carrefour-classic-3270190178057,CARREFOUR CLASSIC',Bonbons Marshmallows CARREFOUR CLASSIC',le sachet de 300g,1.49,4.97," -15% Mardi PASS ",,"Sirop de glucose-fructose, sucre, eau, dextrose, gélatine de porc, arôme naturel de vanille, colorant :rouge de betterave.",Confiseries guimauve
https://www.carrefour.fr/p/bonbons-menthe-sans-sucres-carrefour-3560070319107,CARREFOUR,Bonbons menthe sans sucres CARREFOUR,150 g e,1.99,13.27," -15% Mardi PASS ",,"Ingrédients : édulcorants : maltitols et glycosides de stéviol issus de stevia, arômes naturels de menthe.","Bonbons sans sucres avec édulcorants, à la menthe"
https://www.carrefour.fr/p/bonbons-cola-acid-carrefour-sensation-3560070821808,CARREFOUR SENSATION,Bonbons Cola'Acid CARREFOUR SENSATION,le sachet de 250g,1.39,5.56," -15% Mardi PASS ",,"Sucre, sirop de glucose, eau, gélatine de porc, acidifiants : acide tartrique {L(+)} - acide malique - malates de sodium, sirop de sucre caramélisé, arôme naturel.",Confiseries gélifiées acidulées aromatisées goût cola
https://www.carrefour.fr/p/bonbons-nounours-guimauve-carrefour-classic-3560070339495,CARREFOUR CLASSIC',Bonbons Nounours guimauve CARREFOUR CLASSIC',le paquet de 180g,1.25,6.25," -15% Mardi PASS ",,"Sirop de glucose-fructose, sucre, eau, beurre de cacao, LAIT entier en poudre, pâte de cacao, gélatine de porc, LACTOSERUM en poudre, émulsifiant : lécithines, arômes.",Bonbon de chocolat : Guimauve enrobée de chocolat au lait (30%)
