unique_id,product_name,grammage_quantity,grammage_unit,regular_price,selling_price,product_description,promotion_valid_upto,image_url,instock,netcontent
8158401310,"Kendall-Jackson Vintner's Reserve Chardonnay Wine, 750 ml",750,ml,19.99,13.99,"Beautifully integrated tropical flavors such as pineapple, mango and papaya, with citrus nKendall-Jackson Vintner's Reserve Chardonnay white wine is beautifully integrated with tropical flavors such as pineapple, mango and papaya, followed by citrus notes. Whole cluster pressed to retain the fresh fruit qualities without the bitterness from stems and seeds. Fermented and aged in French and American oak barrels for richness, toastiness and complexity. otes that explode in you mouth.",['2025-07-05'],https://www.meijer.com/content/dam/meijer/product/0081/58/4013/10/0081584013105_1_A1C1_0200.png,inStock,
72881719912,"Gekkeikan Sake, 750 ml",750,ml,11.99,9.99,"Gekkeikan Sake is an interesting, niche item which combines images of culture and sophistication, tradition and novelty.",['2025-07-05'],https://www.meijer.com/content/dam/meijer/product/0728/81/7199/12/0728817199129_0_A1C1_0200.png,inStock,
8954044899,"Malibu Original Coconut Flavored Rum, 750 ml",750,ml,16.99,16.99,"Malibu is one of the world's leading flavored rum spirits, delivering a smooth and sweet taste that complements all your favorite refreshing cocktails. Savor the delightful fusion of carefully aged white rum and coconut liqueur, expertly blended to create a luscious and exotic flavor profile. Whether you're lounging by the pool, hosting a beach party, or simply unwinding after a long day, Malibu is your go-to companion for moments of relaxation and celebration. Blend this liqueur with fresh strawberries and ice for a flavorful Strawberry Daiquiri, shake with orange juice and grenadine to enjoy a fruity Caribbean Sunrise, or keep things simple and try Malibu mixed with cranberry juice or cola. Don't forget to sample the liquor in a Pina Colada&#x1A;this iconic cocktail is the ideal way to enjoy Malibu and experience its sweet and refreshing taste. Enjoy Responsibly.",[],https://www.meijer.com/content/dam/meijer/product/0089/54/0448/99/0089540448992_1_A1C1_0200.png,inStock,
8954053599,"Absolut Canned Cocktails RTD Variety, 8 Pack 355 ml",355,ml,19.99,16.99,"Made with Absolut Vodka, all natural flavors, real fruit juice and second to none mixology expertise.. This 8-pack contains two cans of four delicious cocktail flavors ( 2 x Absolut Berry Vodkarita, 2 x Absolut Mango Mule, 2 x Grapefruit Paloma, 2 x Pineapple Martini). The answer for those who want it all! Reduce the hassle of choice, impress and excite guests with a range of delicious, convenient cocktails from an award-winning vodka brand.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0089/54/0535/99/0089540535999_1_A1C1_0200.png,inStock,8 Pack CAN
89035500102,"Rumchata, 750 ml",750,ml,24.99,24.99,"Of late, we've been bombarded with questions about the origins of RumChata, and the truth is, the answer is not a simple one. RumChata's ingredients are hand selected from all around the world. It's not easy crafting the best tasting cream liqueur in the Universe, but it's a challenge we've taken head on. Every delicious batch of RumChata is mixed up from scratch and contains our own unique blend of premium Caribbean rum, which is selected for its light and smooth character. We then take that rum and homogenize it with the finest dairy cream from Wisconsin. The final step of our process is blending in our own unique flavors, which come from six different countries and as far away as Madagascar.",[],https://www.meijer.com/content/dam/meijer/product/0089/03/5500/10/0089035500102_2_A1C1_0200.png,inStock,
81582901153,Cayman Jack Margarita Variety 12-pack,12,,19.99,16.99,Margarita Variety Pack,['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0815/82/9011/53/0815829011539_0_A1C1_0200.png,inStock,12 Pack CAN
8676721009,"Baileys The Original Irish Cream, 375 ml",375,ml,17.99,17.99,"Baileys Original Irish Cream Liqueur is the world's number one Irish cream liqueur, a perfect blend of fine Irish whiskey, spirits, Irish dairy cream, and sumptuous chocolate and vanilla flavors. With its distinct velvety texture and perfect combination of smooth cream and Irish whiskey, it invites you to enjoy it neat, over ice, or as a delicious addition to your favorite coffee. And if you're looking for more ways to indulge, from gooey Baileys Irish Cream Cheesecake to classy Baileys Espresso Martini, Baileys recipes hit the sweet spot every time. Drawing on traditional Irish dairy and distillation practices, this distinctive blend required four years to achieve perfection, culminating in the ultimate liquid treat. Includes one 34 proof 375 mL bottle of Original Irish Cream Liqueur. Please drink responsibly.",[],https://www.meijer.com/content/dam/meijer/product/0086/76/7210/09/0086767210098_1_A1C1_0200.png,inStock,
8330003452,CHAMBORD CORDIAL BLACK RASPBERRY 375 ML,375,ML,19.99,19.99,CHAMBORD CORDIAL BLACK RASPBERRY 375 ML,['2025-07-05'],https://www.meijer.com/content/dam/meijer/product/0008/33/0003/45/0008330003452_0200.png,inStock,
8500003433,ANDRE COCKTAILS PINEAPPLE MIMOSA 750 ML,750,ML,12.99,9.99,Ready to Drink wine cocktail.  Refreshing pineapple flavor meets Sunday morning brunch!,['2025-07-05'],https://www.meijer.com/content/dam/meijer/product/0085/00/0034/33/0085000034330_0_A1C1_0200.png,inStock,
81582901004,"Cayman Jack Variety 12 Pack, 12 oz Cans",12,oz,19.99,16.99,Cayman Jack Variety 12 PK 12 oz,['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0815/82/9010/04/0815829010044_0_A1C1_0200.jpg,inStock,12 Pack CAN
85000538908,"Ritual Zero Proof Mixer, Rum Alternative, 25.4 fl oz",25.4,fl,29.99,29.99,"All the warm vanilla, toasted spice, and velvety decadence of dark rum, without the alcohol or calories. For non-alcoholic classic like mojitos and mai tais, inspired mixology, simple serves with soda or juice, and everything in between.",[],https://www.meijer.com/content/dam/meijer/product/0850/00/5389/08/0850005389088_0_A1C1_0200.jpg,inStoreOnly,
85000538902,"Ritual Zero Proof Mixer, Whiskey Alternative, 25.4 fl oz",25.4,fl,29.99,29.99,"The oak, smoke, caramel and comforting warmth of whiskey, without the alcohol or calories. For non-alcoholic classics like an old fashioned and whiskey sour, inspired mixology, simple serves with soda or juice, and everything in between.",[],https://www.meijer.com/content/dam/meijer/product/0850/00/5389/02/0850005389026_0_A1C1_0200.jpg,inStoreOnly,
85698600631,"The Barber & Son Red Blend, 750 ml",750,ml,34.99,19.99,Barber &amp; Sons California Red Wine,['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0856/98/6006/31/0856986006310_2_A1C1_0200.jpg,inStock,
8017500000,"The Barber & Son Sauvignon Blanc, 750 ml",750,ml,19.99,17.99,"Aromas -fresh herbs, sublte characters of salt air --with hint of pine apple. Flavorsrs-crisp fresh taste with bright minerality. Long bright finish-with -refreshing close.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0080/17/5000/00/0080175000005_2_A1C1_0200.jpg,inStock,
