Unique_id,Product_name,Brand,Grammage_quantity,Grammage_unit,Pdp_url,Selling_price,Currency,Country_of_origin,Product_description,Breadcrumb,Ingredients,Nutritions,Storage_instructions,Image_url
9927303,REWE Beste Wahl Karamell-Gebäck 250g,REWE Beste Wahl,250,g,https://shop.rewe.de/p/rewe-beste-wahl-karamell-gebaeck-250g/9927303,1.59,Euro,,Artikelnummer 9927303,Süßes & Salziges>Süßgebäck>Kekse & Feingebäck>Keksgebäck,"WEIZENMEHL, Zucker, Sonnenblumenöl, karamellisierter Kandissirup 7,9 %, Backtriebmittel (Natriumcarbonate), Speisesalz, Zimt.","{'Energie': '467 kcal', 'Fett': '17,1 g', 'Fett, davon gesättigte Fettsäuren': '1,5 g', 'Kohlenhydrate': '72 g', 'Kohlenhydrate, davon Zucker': '29 g', 'Ballaststoffe': '1,8 g', 'Eiweiß': '5,4 g', 'Salz': '0,88 g'}",,https://img.rewe-static.de/9927303/47856073_digital-image.png
7857173,REWE Feine Welt Feta Lesbos 200g,REWE Feine Welt,200,g,https://shop.rewe.de/p/rewe-feine-welt-feta-lesbos-200g/7857173,2.89,Euro,Griechenland,"Artikelnummer 7857173,Feta aus 85 % Schaf- und 15 % Ziegenmilch von der griechischen Insel Lesbos, besonders cremig und mild im Geschmack. In einer wiederverschließbaren Frischhaltebox.","Käse, Eier & Molkerei>Käse & Käseersatz>Feta & Schafskäse","Zutaten: SCHAFMILCH, ZIEGENMILCH, Speisesalz, mikrobielles Lab, Starterkulturen.","{'Energie': '285 kcal', 'Fett': '24,2 g', 'Fett, davon gesättigte Fettsäuren': '16,5 g', 'Kohlenhydrate': '0,7 g', 'Kohlenhydrate, davon Zucker': '0,5 g', 'Eiweiß': '16 g', 'Salz': '2,3 g'}",Nach dem Öffnen innerhalb weniger Tage verzehren.,https://img.rewe-static.de/7857173/34306815_digital-image.png
8643941,REWE Feine Welt Burrata aus Apulien 250g,REWE Feine Welt,250,g,https://shop.rewe.de/p/rewe-feine-welt-burrata-aus-apulien-250g/8643941,1.89,Euro,Italien,"Artikelnummer 8643941,Trendartikel! Cremiger Mozzarella-Sahne-Kern, umhüllt von 
zartem Pastafilata-Käse, hergestellt in Apulien.","Käse, Eier & Molkerei>Käse & Käseersatz>Mozzarella","MILCH, SAHNE 48 %, Speisesalz, mikrobielles Lab, MILCHsäurekulturen, Säureregulator (MILCHsäure), Konservierungsstoff (Sorbinsäure).","{'Energie': '254 kcal', 'Fett': '23 g', 'Fett, davon gesättigte Fettsäuren': '16 g', 'Kohlenhydrate': '1,8 g', 'Kohlenhydrate, davon Zucker': '1,4 g', 'Ballaststoffe': '0 g', 'Eiweiß': '10 g', 'Salz': '0,37 g'}",,https://img.rewe-static.de/8643941/34631257_digital-image.png
5273552,De Cecco Fusilli Nr.34 500g,De Cecco,500,g,https://shop.rewe.de/p/de-cecco-fusilli-nr-34-500g/5273552,1.49,Euro,Italien,"Artikelnummer 5273552,Product ist zertifiziert,alle unsere Sicherheits- und Qualitätsgrundsätze einhält,De Cecco - Die Qualität unserer Pasta ist zertifiziert",Kochen & Backen>Nudeln>Spiralnudeln,Teigwaren aus HartWEIZENgrieß - kann SOJA und SENF enthalten.,"{'Energie': '351 kcal', 'Fett': '1,5 g', 'Fett, davon gesättigte Fettsäuren': '0,3 g', 'Kohlenhydrate': '69 g', 'Kohlenhydrate, davon Zucker': '3,4 g', 'Ballaststoffe': '2,9 g', 'Eiweiß': '14 g', 'Salz': '0 g'}","Vor Wärmequellen und Licht geschützt lagern, feuchte Umgebung vermeiden",https://img.rewe-static.de/5273552/8945720_digital-image.png
2927343,REWE Feine Welt Salame Milano 80g,REWE Feine Welt,80,g,https://shop.rewe.de/p/rewe-feine-welt-salame-milano-80g/2927343,3.49,Euro,Italien,"Artikelnummer 2927343,Nach althergebrachter lombardischer Tradition zubereitete Salami aus bestem norditalienischem Schweinefleisch, mit Salz, Pfeffer und Knoblauch mild gewürzt und mindestens 90 Tage gereift.",Fleisch & Fisch>Wurst & Aufschnitt>Salami & Paprikawurst,"Schweinefleisch, Speisesalz, Dextrose, Gewürze, natürliche Aromen, Antioxidationsmittel (Natriumascorbat), Konservierungsstoffe (Kaliumnitrat, Natriumnitrit), Reifekulturen. 100g Salami sind hergestellt aus 142g Schweinefleisch.","{'Energie': '371 kcal', 'Fett': '29 g', 'Fett, davon gesättigte Fettsäuren': '9,9 g', 'Kohlenhydrate': '0,5 g', 'Kohlenhydrate, davon Zucker': '0,5 g', 'Ballaststoffe': '0 g', 'Eiweiß': '27 g', 'Salz': '4 g'}",,https://img.rewe-static.de/2927343/25714788_digital-image.png
8486583,REWE Bio Pesto Verde vegan 130g,REWE Bio,130,g,https://shop.rewe.de/p/rewe-bio-pesto-verde-vegan-130g/8486583,2.49,Euro,Italien,Artikelnummer 8486583,Monats-Highlights>Baby & Kind>Leckeres für kleine Genießer>Schnelle Gerichte für Kids,"Basilikum* 60%, natives Olivenöl extra* 25%, CASHEWKERNE* 13%, Speisesalz, Zitronensaft*.","{'Energie': '332 kcal', 'Fett': '32,6 g', 'Fett, davon gesättigte Fettsäuren': '5,9 g', 'Kohlenhydrate': '4,2 g', 'Kohlenhydrate, davon Zucker': '1,1 g', 'Eiweiß': '3,6 g', 'Salz': '1,68 g'}",Nach dem Öffnen im Kühlschrank lagern und innerhalb weniger Tage verzehren.,https://img.rewe-static.de/8486583/32512097_digital-image.png
9952235,REWE Feine Welt Manchego Curado aus Schafmilch 175g,REWE Feine Welt,175,g,https://shop.rewe.de/p/rewe-feine-welt-manchego-curado-aus-schafmilch-175g/9952235,4.99,Euro,Spanien,Artikelnummer 9952235,"Käse, Eier & Molkerei>Käse & Käseersatz>Hartkäse","Zutaten: SCHAFMILCH, Säuerungskulturen, Speisesalz, mikrobielles Lab. ","{'Energie': '455 kcal', 'Fett': '38 g', 'Fett, davon gesättigte Fettsäuren': '26,2 g', 'Kohlenhydrate': '1,3 g', 'Kohlenhydrate, davon Zucker': '1,3 g', 'Ballaststoffe': '0 g', 'Eiweiß': '27 g', 'Salz': '1,9 g'}",,https://img.rewe-static.de/9952235/46844499_digital-image.png
7890168,Campofrio Serrano-Schinken 80g,Campofrio,80,g,https://shop.rewe.de/p/campofrio-serrano-schinken-80g/7890168,2.49,Euro,Spanien,Artikelnummer 7890168,Fleisch & Fisch>Wurst & Aufschnitt>Roher Schinken & Speck,"Schweinefleisch, Salz, Konservierungsstoffe (E-250, E-252).","{'Energie': '212 kcal', 'Fett': '10 g', 'Fett, davon gesättigte Fettsäuren': '3,8 g', 'Kohlenhydrate': '0,5 g', 'Kohlenhydrate, davon Zucker': '0,5 g', 'Eiweiß': '30 g', 'Salz': '5 g'}",Bei 0 °C bis +7 °C lagern.,https://img.rewe-static.de/7890168/6466630_digital-image.png
1424200,REWE Feine Welt Antipasti Variation Wurstaufschnitt 100g,REWE Feine Welt,100,g,https://shop.rewe.de/p/rewe-feine-welt-antipasti-variation-wurstaufschnitt-100g/1424200,5.49,Euro,,"Artikelnummer 1424200,Typisch italienische Antipasti: lange gereifter roher Schinken, zarte Scheiben von Coppa aus dem Halsmuskel sowie aromatisch-würzige Salami. Alles von norditalienischen Schweinen aus den Regionen Lombardei, Venetien, Emilia-Romagna und dem Piemont.",Fleisch & Fisch>Wurst & Aufschnitt>Roher Schinken & Speck,siehe Einzelsorten ,"{'Energie': '311 kcal', 'Fett': '22 g', 'Fett, davon gesättigte Fettsäuren': '8,6 g', 'Kohlenhydrate': '0,3 g', 'Kohlenhydrate, davon Zucker': '0 g', 'Ballaststoffe': '2 g', 'Eiweiß': '28 g', 'Salz': '4,6 g'}",,https://img.rewe-static.de/1424200/20480952_digital-image.png
8288229,REWE Feine Welt Salsiccia Classica 300g,REWE Feine Welt,300,g,https://shop.rewe.de/p/rewe-feine-welt-salsiccia-classica-300g/8288229,4.99,Euro,Italien,Artikelnummer 8288229,Fleisch & Fisch>Wurst & Aufschnitt>Brüh- & Bratwurst,"Schweinefleisch 94%, Speisesalz, Gewürze, natürliche Aromen, Antioxidationsmittel (Natriumascorbat), Säureregulator (Natriumacetate), Konservierungsstoff (Natriumnitrit, Kaliumnitrat), Reifekulturen, Schweinedarm.","{'Energie': '288 kcal', 'Fett': '24 g', 'Fett, davon gesättigte Fettsäuren': '10 g', 'Kohlenhydrate': '1 g', 'Kohlenhydrate, davon Zucker': '0,1 g', 'Ballaststoffe': '0 g', 'Eiweiß': '17 g', 'Salz': '3 g'}",,https://img.rewe-static.de/8288229/29275950_digital-image.png
6551025,Bertolli Originale Natives Olivenöl Extra 500ml,Bertolli,500,ml,https://shop.rewe.de/p/bertolli-originale-natives-olivenoel-extra-500ml/6551025,7.99,Euro,Italien,Artikelnummer 6551025,"Öle, Soßen & Gewürze>Öle>Olivenöl",,"{'Energie': '822 kcal', 'Fett': '91 g', 'Fett, davon gesättigte Fettsäuren': '14 g', 'Fett, davon einfach ungesättigte Fettsäuren': '70 g', 'Fett, davon mehrfach ungesättigte Fettsäuren': '7 g', 'Kohlenhydrate': '0 g', 'Kohlenhydrate, davon Zucker': '0 g', 'Eiweiß': '0 g', 'Salz': '0 g'}",Dunkel und idealerweise zwischen 15° C und 20° C aufbewahren.,https://img.rewe-static.de/6551025/33112554_digital-image.png
2849409,REWE Feine Welt Macarons 6 Stück 72g,REWE Feine Welt,72,g,https://shop.rewe.de/p/rewe-feine-welt-macarons-6-stueck-72g/2849409,2.99,Euro,Frankreich,"Artikelnummer 2849409,Original französisches Mandelbaisergebäck.",Tiefkühlkost>Tiefkühl-Backwaren>Tiefkühl-Minigebäck,"Zucker, MANDELN 17 %, Puderzucker, Hühnereieiweiß, MANDELPASTE (MANDELN 60%, Zucker, Wasser), BUTTER, Zitronensaft 2,6%, Himbeeren 2,4%, Mangofruchtzubereitung 2,4% (Mango 90%, Zucker), Bitterschokolade 1,7% (Kakaomasse, Zucker, KakaoBUTTER, Emulgator Lecithine (enthält SOJA), Vanilleextrakt), Milchschokolade 1,2% (Zucker, KakaoBUTTER, VOLLMILCHPULVER, Kakaomasse, Emulgator Lecithine (enthält SOJA), Vanilleextrakt), VOLLMILCH, Haselnüsse, SAHNE, HASELNUSSPASTE (Haselnüsse, Zucker), Glukosesirup, Farbstoffe (Betanin (Beetenrot), Kurkumin), PISTAZIEN 0,4%, Invertzuckersirup, Geliermittel Pektine, fettarmes Kakaopulver, Kakaopulver, geriebene Zitronenschale, färbender Pflanzenextrakt (Spirulina), natürliche Aromen (Pistazie, Zitrone, Mango), Vanillepulver. ","{'Energie': '461 kcal', 'Fett': '21,4 g', 'Fett, davon gesättigte Fettsäuren': '5,4 g', 'Kohlenhydrate': '56,2 g', 'Kohlenhydrate, davon Zucker': '56,2 g', 'Eiweiß': '9 g', 'Salz': '0,13 g'}",***-Fach oder Tiefkühltruhe (-18 °C): siehe Seitenlasche,https://img.rewe-static.de/2849409/25367128_digital-image.png
3291163,Fackelmann Stieleisformer 5 Stück,Fackelmann,,,https://shop.rewe.de/p/fackelmann-stieleisformer-5-stueck/3291163,5.99,Euro,Deutschland,Artikelnummer 3291163,Küche & Haushalt>Küchenhelfer & Zubehör,,{},,https://img.rewe-static.de/3291163/27738661_digital-image.png
9948224,Today Sun Kids Sonnenspray Sensitiv LSF 50 200ml,Today,200,ml,https://shop.rewe.de/p/today-sun-kids-sonnenspray-sensitiv-lsf-50-200ml/9948224,5.29,Euro,Deutschland,Artikelnummer 9948224,Drogerie & Kosmetik>Körperpflege & -reinigung>Sonnenschutz & -pflege,,{},"Vor Gebrauch schütteln. Vor dem Sonnen großzügig auftragen. Geringe Auftragsmengen reduzieren die Schutzleistung erheblich. Mehrfach auftragen, um den Lichtschutz aufrecht zu erhalten, insbesondere nach dem Aufenthalt im Wasser, nach dem Abtrocknen oder beim Schwitzen. Intensive Mittagssonne vermeiden. Babys und Kleinkinder vor direkter Sonneneinstrahlung schützen, sowie Sonnenschutzmittel mit hohem Lichtschutzfaktor (LSF 30 und höher) und schützende Kleidung verwenden. Auch Sonnenschutzmittel mit hohem Lichtschutzfaktor bieten keinen vollständigen Schutz vor UV-Strahlen. Bleiben Sie trotz Verwendung eines Sonnenschutzmittels nicht zu lange in der Sonne. Jeder Sonnenbrand schädigt die Haut nachhaltig und ist zu vermeiden. Übermäßiges Sonnenbaden stellt ein ernsthaftes Gesundheitsrisiko dar! Kontakt mit Textilien und Oberflächen vermeiden, dauerhafte Fleckenbildung möglich. Kontakt mit den Augen vermeiden. Vollständig einziehen lassen.",https://img.rewe-static.de/9948224/47483361_digital-image.png
