unique_id,product_name,regular_price,selling_price,percentage_discount,breadcrumb,pdp_url,uom
746361,"Zott Monte Snack tejes, tejcsokoládés-mogyorós krémmel töltött sütemény 29 g",179.00,179.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Zott Monte Snack tejes, tejcsokoládés-mogyorós krémmel töltött sütemény 29 g",https://auchan.hu/shop/zott-monte-snack-tejes-tejcsokoládés-mogyorós-krémmel-töltött-sütemény-29-g.p-746361,g
660124,Mini Mooore epres joghurt 150 g,199.00,199.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Mini Mooore epres joghurt 150 g",https://auchan.hu/shop/mini-mooore-epres-joghurt-150-g.p-660124,g
660125,Mini Mooore kekszes joghurt 150 g,199.00,199.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Mini Mooore kekszes joghurt 150 g",https://auchan.hu/shop/mini-mooore-kekszes-joghurt-150-g.p-660125,g
660086,Mini Mooore málnás joghurt 150 g,199.00,199.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Mini Mooore málnás joghurt 150 g",https://auchan.hu/shop/mini-mooore-málnás-joghurt-150-g.p-660086,g
660126,Mini Mooore vaníliás ízű joghurt 150 g,199.00,199.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Mini Mooore vaníliás ízű joghurt 150 g",https://auchan.hu/shop/mini-mooore-vaníliás-ízű-joghurt-150-g.p-660126,g
746926,Nádudvari Fitness élőflórás réteges krémjoghurt meggyes-vaníliás 180 g,199.00,199.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Nádudvari Fitness élőflórás réteges krémjoghurt meggyes-vaníliás 180 g",https://auchan.hu/shop/nádudvari-fitness-élőflórás-réteges-krémjoghurt-meggyes-vaníliás-180-g.p-746926,g
746925,"Nádudvari Fitness élőflórás, réteges krémjoghurt erdei gyümölcsökkel 180 g",199.00,199.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Nádudvari Fitness élőflórás, réteges krémjoghurt erdei gyümölcsökkel 180 g",https://auchan.hu/shop/nádudvari-fitness-élőflórás-réteges-krémjoghurt-erdei-gyümölcsökkel-180-g.p-746925,g
441958,Zott Szívecske zsírszegény joghurt 315 g,225.00,225.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Zott Szívecske zsírszegény joghurt 315 g",https://auchan.hu/shop/zott-szívecske-zsírszegény-joghurt-315-g.p-441958,g
688426,Danone Danonino élőflórás eper-banánízű joghurt hozzáadott kalciummal és D-vitaminnal 70 g,248.00,248.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Danone Danonino élőflórás eper-banánízű joghurt hozzáadott kalciummal és D-vitaminnal 70 g",https://auchan.hu/shop/danone-danonino-élőflórás-eper-banánízű-joghurt-hozzáadott-kalciummal-és-d-vitaminnal-70-g.p-688426,g
616015,"Danone Oikos Édes Kettes édesített joghurt vaníliaízű, csokoládéval bevont gabonacsillagokkal 102 g",329.00,329.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Danone Oikos Édes Kettes édesített joghurt vaníliaízű, csokoládéval bevont gabonacsillagokkal 102 g",https://auchan.hu/shop/danone-oikos-édes-kettes-édesített-joghurt-vaníliaízű-csokoládéval-bevont-gabonacsillagokkal-102-g.p-616015,g
785341,Landliebe édesített joghurt 15% eper vagy cseresznye készítménnyel 150 g,332.00,332.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Landliebe édesített joghurt 15% eper vagy cseresznye készítménnyel 150 g",https://auchan.hu/shop/landliebe-édesített-joghurt-15%-eper-vagy-cseresznye-készítménnyel-150-g.p-785341,g
813888,Landliebe édesített joghurt 15% málna vagy áfonya készítménnyel 150 g,332.00,332.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Landliebe édesített joghurt 15% málna vagy áfonya készítménnyel 150 g",https://auchan.hu/shop/landliebe-édesített-joghurt-15%-málna-vagy-áfonya-készítménnyel-150-g.p-813888,g
545442,Danone Oikos Habdesszert habosított tejtermék áfonyás öntettel 125 g,349.00,349.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Danone Oikos Habdesszert habosított tejtermék áfonyás öntettel 125 g",https://auchan.hu/shop/danone-oikos-habdesszert-habosított-tejtermék-áfonyás-öntettel-125-g.p-545442,g
545255,Danone Oikos Habdesszert habosított tejtermék epres öntettel 125 g,349.00,349.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Danone Oikos Habdesszert habosított tejtermék epres öntettel 125 g",https://auchan.hu/shop/danone-oikos-habdesszert-habosított-tejtermék-epres-öntettel-125-g.p-545255,g
820744,Zott Jogobella élőflórás joghurt 400 g,363.00,363.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Zott Jogobella élőflórás joghurt 400 g",https://auchan.hu/shop/zott-jogobella-élőflórás-joghurt-400-g.p-820744,g
820745,Zott Jogobella élőflórás joghurt 400 g,363.00,363.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Zott Jogobella élőflórás joghurt 400 g",https://auchan.hu/shop/zott-jogobella-élőflórás-joghurt-400-g.p-820745,g
89794,Zott Jogobella élőflórás joghurt 400 g,363.00,363.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Zott Jogobella élőflórás joghurt 400 g",https://auchan.hu/shop/zott-jogobella-élőflórás-joghurt-400-g.p-89794,g
495867,Müller Mix vanília ízesítésű joghurt karamellizált mandulával 130 g,409.00,409.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Müller Mix vanília ízesítésű joghurt karamellizált mandulával 130 g",https://auchan.hu/shop/müller-mix-vanília-ízesítésű-joghurt-karamellizált-mandulával-130-g.p-495867,g
470392,Auchan Kedvenc Citrom ízű Bifidus joghurt 4x125 g,510.00,510.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Auchan Kedvenc Citrom ízű Bifidus joghurt 4x125 g",https://auchan.hu/shop/auchan-kedvenc-citrom-ízű-bifidus-joghurt-4x125-g.p-470392,g
470393,Auchan Kedvenc Kókusz ízű Bifidus joghurt 4x125 g,510.00,510.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Auchan Kedvenc Kókusz ízű Bifidus joghurt 4x125 g",https://auchan.hu/shop/auchan-kedvenc-kókusz-ízű-bifidus-joghurt-4x125-g.p-470393,g
470394,Auchan Kedvenc Vanília ízű Bifidus joghurt 4x125 g,510.00,510.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Auchan Kedvenc Vanília ízű Bifidus joghurt 4x125 g",https://auchan.hu/shop/auchan-kedvenc-vanília-ízű-bifidus-joghurt-4x125-g.p-470394,g
470397,Auchan Kedvenc Gyümölcs joghurt 3 féle mangó/őszibarack/sárgabarack-nektarin 4x125g,514.00,514.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Auchan Kedvenc Gyümölcs joghurt 3 féle mangó/őszibarack/sárgabarack-nektarin 4x125g",https://auchan.hu/shop/auchan-kedvenc-gyümölcs-joghurt-3-féle-mangó/őszibarack/sárgabarack-nektarin-4x125g.p-470397,
801277,Danone Nap mint Nap élőflórás eperízű zsírszegény joghurt 4 x 110 g,559.00,559.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Danone Nap mint Nap élőflórás eperízű zsírszegény joghurt 4 x 110 g",https://auchan.hu/shop/danone-nap-mint-nap-élőflórás-eperízű-zsírszegény-joghurt-4-x-110-g.p-801277,g
86811,"Danone málnaízű, élőflórás, zsírszegény joghurt 4 x 125 g (500 g)",599.00,599.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Danone málnaízű, élőflórás, zsírszegény joghurt 4 x 125 g (500 g)",https://auchan.hu/shop/danone-málnaízű-élőflórás-zsírszegény-joghurt-4-x-125-g-(500-g).p-86811,g
892692,Activia erdei gyümölcsös joghurt gabonákkal 4x120 g,647.00,647.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Activia erdei gyümölcsös joghurt gabonákkal 4x120 g",https://auchan.hu/shop/activia-erdei-gyümölcsös-joghurt-gabonákkal-4x120-g.p-892692,g
892682,Activia őszibarackos joghurtgabonákkal 4x120 g,647.00,647.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Activia őszibarackos joghurtgabonákkal 4x120 g",https://auchan.hu/shop/activia-őszibarackos-joghurtgabonákkal-4x120-g.p-892682,g
433175,Riska epres krémjoghurt 850 g,693.00,693.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Riska epres krémjoghurt 850 g",https://auchan.hu/shop/riska-epres-krémjoghurt-850-g.p-433175,g
929742,Zott Jogobella élőflórás joghurt 900 g,772.00,772.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Zott Jogobella élőflórás joghurt 900 g",https://auchan.hu/shop/zott-jogobella-élőflórás-joghurt-900-g.p-929742,g
929741,"Zott Jogobella élőflórás, epres joghurt 900 g",772.00,772.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Zott Jogobella élőflórás, epres joghurt 900 g",https://auchan.hu/shop/zott-jogobella-élőflórás-epres-joghurt-900-g.p-929741,g
933941,Exquisa Mild Skyr Vanilla 400 g,786.00,786.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Exquisa Mild Skyr Vanilla 400 g",https://auchan.hu/shop/exquisa-mild-skyr-vanilla-400-g.p-933941,g
868408,"Milli Power Bowl zsírszegény eredeti görög krémjoghurt eperrel, ribizlivel 2 x 175 g (350 g)",848.00,848.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Milli Power Bowl zsírszegény eredeti görög krémjoghurt eperrel, ribizlivel 2 x 175 g (350 g)",https://auchan.hu/shop/milli-power-bowl-zsírszegény-eredeti-görög-krémjoghurt-eperrel-ribizlivel-2-x-175-g-(350-g).p-868408,g
868407,Milli Power Bowl zsírszegény eredeti görög krémjoghurt őszibarackkal 2 x 175 g (350 g),848.00,848.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Milli Power Bowl zsírszegény eredeti görög krémjoghurt őszibarackkal 2 x 175 g (350 g)",https://auchan.hu/shop/milli-power-bowl-zsírszegény-eredeti-görög-krémjoghurt-őszibarackkal-2-x-175-g-(350-g).p-868407,g
868406,Milli Power Bowl zsírszegény eredeti görög krémjoghurt teljes kiőrlésű keksszel 2 x 175 g (350 g),848.00,848.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Milli Power Bowl zsírszegény eredeti görög krémjoghurt teljes kiőrlésű keksszel 2 x 175 g (350 g)",https://auchan.hu/shop/milli-power-bowl-zsírszegény-eredeti-görög-krémjoghurt-teljes-kiőrlésű-keksszel-2-x-175-g-(350-g).p-868406,g
635904,Danone Oikos Görög élőflórás áfonyás sajttorta ízű krémjoghurt 4 x 125 g,849.00,849.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Danone Oikos Görög élőflórás áfonyás sajttorta ízű krémjoghurt 4 x 125 g",https://auchan.hu/shop/danone-oikos-görög-élőflórás-áfonyás-sajttorta-ízű-krémjoghurt-4-x-125-g.p-635904,g
