Product_name,Regular_price,Currency,Grammage_quantity,Grammage_unit,Ingredients,Pdp_url,Storage_instructions,Country_of_origin,Nutritions,Image_url,Breadcrumbs
Iglo Spinazie a la Creme,2.05,Euro,750,gram,"Ingrediënten: Spinazie 84%, water, room (MELK) 2%, magere MELKpoeder, koolzaadolie, TARWEbloem, weipoeder (MELK), zout, tapiocazetmeel, suiker, peper, nootmuskaat, foelie.",https://www.hoogvliet.com/product/iglo-spinazie-a-la-creme2,"Bewaarvoorschriften: 
Bij -18°C, ten minste houdbaar tot einde: Thuis in diepvries bewaren. Na ontdooiing niet opnieuw invriezen. ",,"{'Energie': '55 Kilocalorie', 'Totale vetten': '2.6 Gram', 'Vetzuren, totaal verzadigd': '0.7 Gram', 'Koolhydraten': '3.4 Gram', 'Suikers, totaal': '1.7 Gram', 'Voedingsvezels': '1.8 Gram', 'Eiwitten': '3.5 Gram', 'Zout': '0.73 Gram', 'vitamine A; methode van bepalen onbekend': '521 Microgram', 'vitamine K': '706 Microgram', 'folaat, voedingsfolaatequivalenten': '45.5 Microgram'}",https://cdn.hoogvliet.com/Images/Product/XL/072075000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Diepvries groente', 'Spinazie a la Creme']"
Hoogvliet Italiaanse roerbak zonder ui,2.49,Euro,400,gram,"Ingrediënten :Prei, wortel, paprika, courgette.",https://www.hoogvliet.com/product/hoogvliet-italiaanse-roerbak-zonder-ui,"Bewaarvoorschriften: 
Gekoeld bewaren (max. 7°C). Na openen beperkt houdbaar ",,"{'Energie': '26 Kilocalorie', 'Totale vetten': '0.2 Gram', 'Vetzuren, totaal verzadigd': '0.047 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0.041 Gram', 'Vetzuren, meervoudig onverzadigd': '0.112 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '3.944 Gram', 'Suikers, totaal': '3.175 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0.769 Gram', 'Voedingsvezels': '2.301 Gram', 'Eiwitten': '1.07 Gram', 'natrium': '0.01 Gram', 'Zout': '0.027 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/077079000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Groente', 'Groentemixen', 'Italiaanse roerbak zonder ui']"
G'woon Soepgroenten,2.21,Euro,500,gram,"Ingrediënten :20% wortel, 16% sperziebonen, 16% bloemkool, 12% peterselie, 11% SELDERIJ, 10% prei, 10% koolrabi, 5% erwten.",https://www.hoogvliet.com/product/g-apos-woon-soepgroenten2,"Bewaarvoorschriften: 
In vriesvak * (-6°C): enkele dagen. in vriezer ** (-12°C): 2 weken na aankoop. in vriezer *** (-18°C): ten minste houdbaar tot de op verpakking vermelde datum. Na ontdooiing niet opnieuw invriezen. Dieprvriesproduct",,"{'Energie': '40 Kilocalorie', 'Totale vetten': '0.3 Gram', 'Vetzuren, totaal verzadigd': '0.1 Gram', 'Koolhydraten': '5.6 Gram', 'Suikers, totaal': '3.3 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '2.3 Gram', 'Voedingsvezels': '2.8 Gram', 'Eiwitten': '1.6 Gram', 'natrium': '0.009 Gram', 'Zout': '0.023 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/717717000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Diepvries groente', 'Soepgroenten']"
Hoogvliet Gele paprika,0.98,Euro,1,stuk,Klasse 1 ---- land van herkomst: Nederland,https://www.hoogvliet.com/product/hoogvliet-gele-paprika,"Bewaarvoorschriften: 
Koel, droog en donker bewaren. ",Nederland,"{'Energie': '25 Kilocalorie', 'Totale vetten': '0.1 Gram', 'Vetzuren, totaal verzadigd': '0 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0.1 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '4.3 Gram', 'Suikers, totaal': '4.3 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0 Gram', 'Voedingsvezels': '1.8 Gram', 'Eiwitten': '0.8 Gram', 'natrium': '0.001 Gram', 'Zout': '0.003 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/044499000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Groente', 'Tomaat, paprika', 'Gele paprika']"
Hoogvliet Frambozen,,Euro,225,gram,Klasse 1 .... Land van herkomst: Portugal,https://www.hoogvliet.com/product/hoogvliet-frambozen2,"Bewaarvoorschriften: 
Na aankoop gekoeld bewaren (max. 7°C). ",Portugal,"{'Energie': '37 Kilocalorie', 'Totale vetten': '0.3 Gram', 'Vetzuren, totaal verzadigd': '0 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0.2 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '4.5 Gram', 'Suikers, totaal': '4.5 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0 Gram', 'Voedingsvezels': '2.5 Gram', 'Eiwitten': '1.4 Gram', 'natrium': '0.003 Gram', 'Zout': '0.008 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/695509000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Fruit', 'Rood fruit, druiven', 'Frambozen']"
G'woon Rode bieten,2.13,Euro,680,gram,"Ingrediënten :74% rode biet, water, azijn, suiker, maïszetmeel, zout.",https://www.hoogvliet.com/product/g-apos-woon-rode-bieten,"Bewaarvoorschriften: 
Droog en donker bewaren. ",,"{'Energie': '33 Kilocalorie', 'Totale vetten': '0 Gram', 'Vetzuren, totaal verzadigd': '0 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '6.2 Gram', 'Suikers, totaal': '5.7 Gram', 'suiker, toegevoegd': '2.3 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0 Gram', 'Voedingsvezels': '2.1 Gram', 'Eiwitten': '0.9 Gram', 'natrium': '0.136 Gram', 'Zout': '0.34 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/691119000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Groente', 'Wortelen, knolgroenten', 'Rode bieten']"
Hoogvliet Groene boerensalade,,Euro,295,gram,"Ingrediënten :42% ijsbergsla, 17% yoghurtdressing (water, 27% magere yoghurt (MELK), ongeharde koolzaadolie, natuurazijn, maïszetmeel, maltodextrine, zout, MELKEIWIT, EIGEELPEDER (van vrije-uitloopeieren), verdikkingsmiddel: E415/E412, natuurlijke aroma's, zoetstof: E960a, peterselie, zwarte peperextract), 15% paprika, 10% kaas (MELK, zout, zuursel, microbieel stremsel), 8% boerenmix (34% spek (95% varkensvlees, zout, zuurteregelaar: E326, conserveermiddel: E262/E250, rookaroma, antioxidant: E301), 33% rozijnen (rozijnen (SULFIET), ongeharde zonnebloemolie), 33% WALNOTEN), ui. Kan AMANDELEN, CASHEWNOTEN en PISTACHENOTEN bevatten.",https://www.hoogvliet.com/product/hoogvliet-groene-boerensalade,"Bewaarvoorschriften: 
Gekoeld bewaren (max. 7°C). Na openen beperkt houdbaar Verpakt onder beschermende atmosfeer.",NIET INGEVULD,"{'Energie': '123 Kilocalorie', 'Totale vetten': '9.182 Gram', 'Vetzuren, totaal verzadigd': '2.906 Gram', 'Vetzuren, enkelvoudig onverzadigd': '3.659 Gram', 'Vetzuren, meervoudig onverzadigd': '2.492 Gram', 'Transvetzuren': '0.125 Gram', 'Koolhydraten': '4.901 Gram', 'Suikers, totaal': '3.541 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0.002 Gram', 'Zetmeel': '1.36 Gram', 'Voedingsvezels': '1.263 Gram', 'Eiwitten': '4.404 Gram', 'natrium': '0.182 Gram', 'Zout': '0.455 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/716697000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Groente', 'Sla, rauwkost, kiemgroenten', 'Groene boerensalade']"
Healthyhand Fruitmix luxe,2.00,Euro,150,gram,"Ingrediënten: ananas, cantaloupe meloen, gele meloen, aardbei, blauwe druif.",https://www.hoogvliet.com/product/healthyhand-fruitmix-luxe,"Bewaarvoorschriften: 
Gekoeld bewaren bij max. 7°C. Na openen beperkt houdbaar. Ongeopend, te gebruiken tot en met: zie bovenzijde. ",,"{'Energie': '44 Kilocalorie', 'Totale vetten': '0.1 Gram', 'Vetzuren, totaal verzadigd': '0.0 Gram', 'Koolhydraten': '9.2 Gram', 'Suikers, totaal': '9.1 Gram', 'Voedingsvezels': '1.1 Gram', 'Eiwitten': '0.6 Gram', 'Zout': '0.02 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/725777000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Fruit', 'Fruitsalades', 'Fruitmix luxe']"
Fresh Mushroom Europe Gesneden champignons,2.15,Euro,250,gram,Klasse 1 land van herkomst: Nederland,https://www.hoogvliet.com/product/fresh-mushroom-europe-gesneden-champignons,"Bewaarvoorschriften: 
Keep refrigerated (max. 7°C). ",Nederland,"{'Energie': '18 Kilocalorie', 'Totale vetten': '0.5 Gram', 'Vetzuren, totaal verzadigd': '0.1 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0.3 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '0.4 Gram', 'Suikers, totaal': '0.4 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0 Gram', 'Voedingsvezels': '1.5 Gram', 'Eiwitten': '2.3 Gram', 'natrium': '0.005 Gram', 'Zout': '0.013 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/219983000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Groente', 'Champignons, paddenstoelen', 'Gesneden champignons']"
Stamppot aardappelen,1.69,Euro,1,kilo,Ingrediënten :voorgekookte aardappelen.,https://www.hoogvliet.com/product/stamppot-aardappelen,"Bewaarvoorschriften: 
Gekoeld bewaren (max. 7 °C), na openen maximaal 24 uur bewaren in gesloten verpakking. Verpakt onder beschermende atmosfeer.",,"{'Energie': '78 Kilocalorie', 'Totale vetten': '0 Gram', 'Vetzuren, totaal verzadigd': '0 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '16.2 Gram', 'Suikers, totaal': '0.28 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '15.92 Gram', 'Voedingsvezels': '2.334 Gram', 'Eiwitten': '2.163 Gram', 'natrium': '0.008 Gram', 'Zout': '0.019 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/063479000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Aardappelen', 'Puree, stamppot, gepoft, gratin', 'Stamppot aardappelen']"
